,AUC,CoxSnell,Nagelkerke,McFadden,Features
20823,75.16884532,0.134254697,0.14320501,0.05199636,3103062 3818376 3214800 diagnosis
8818,75.15250545,0.165313313,0.176334201,0.065173334,2601230 3780271 3818376 diagnosis
2063,75.13616558,0.29903372,0.318969302,0.128145763,2385696 2773545 2674317 diagnosis
90,75.13616558,0.139771642,0.149089751,0.054302101,2385696 3780271 diagnosis
20832,75.12527233,0.128614199,0.137188479,0.049654123,3103062 3818376 2968434 diagnosis
6231,75.11437908,0.095682586,0.102061425,0.036274712,2531129 2968349 3407583 diagnosis
1885,75.10893246,0.202395839,0.215888895,0.08156379,2385696 2601230 3048778 diagnosis
9592,75.10893246,0.125989093,0.134388366,0.048569203,2672467 3103062 2968349 diagnosis
8740,75.09259259,0.195491206,0.208523954,0.078454976,2601230 3632862 3818376 diagnosis
10586,75.09259259,0.177187137,0.188999613,0.070340937,2674432 2815331 3632862 diagnosis
20815,75.09259259,0.157631902,0.168140695,0.061869324,3103062 3818376 2674317 diagnosis
2228,75.08714597,0.256210501,0.273291202,0.106758429,2385696 3005266 3048778 diagnosis
2873,75.08714597,0.234442921,0.250072449,0.096354537,2385696 3585272 3632862 diagnosis
24144,75.08714597,0.231970761,0.247435479,0.095191715,3336422 3337168 3818376 diagnosis
2081,75.08169935,0.2251969,0.240210027,0.092024592,2385696 2773545 2536332 diagnosis
2427,75.07625272,0.168957326,0.180221148,0.066751383,2385696 3103062 2674317 diagnosis
2909,75.06535948,0.282298446,0.301118343,0.119636013,2385696 3632862 3475038 diagnosis
20624,75.05991285,0.196971659,0.210103103,0.079119298,3103062 3500787 3632862 diagnosis
2273,75.03812636,0.165402178,0.17642899,0.065211735,2385696 3017068 3048778 diagnosis
20685,75.03267974,0.219033282,0.2336355,0.089166757,3103062 3632862 3808600 diagnosis
2348,75.01089325,0.153727806,0.163976326,0.060201583,2385696 3048778 3551851 diagnosis
18132,75.01089325,0.111831778,0.119287229,0.042773785,3017068 3843934 2968349 diagnosis
2344,75.00544662,0.162615942,0.173457005,0.064009661,2385696 3048778 2968399 diagnosis
2065,75,0.237565123,0.253402798,0.097828495,2385696 2773545 2968399 diagnosis
1803,74.99455338,0.21719384,0.23167343,0.088318247,2385696 2531129 2674317 diagnosis
4941,74.98366013,0.141111316,0.150518737,0.054864233,2531129 2601230 3551851 diagnosis
18107,74.97821351,0.12621784,0.134632363,0.048663611,3017068 3818376 2968399 diagnosis
2639,74.96732026,0.165269788,0.176287774,0.065154527,2385696 3336422 2968434 diagnosis
10858,74.96187364,0.161712621,0.172493462,0.063620797,2674432 3103062 3818376 diagnosis
2235,74.95642702,0.265919784,0.28364777,0.111497594,2385696 3005266 3336422 diagnosis
20814,74.94553377,0.226056755,0.241127205,0.09242508,3103062 3818376 3475038 diagnosis
29968,74.93464052,0.187068262,0.199539479,0.07469847,3780271 3808600 3818376 diagnosis
2231,74.9291939,0.261150731,0.278560779,0.109162005,2385696 3005266 3104698 diagnosis
5958,74.90740741,0.174864586,0.186522226,0.069324299,2531129 3708874 3818376 diagnosis
2080,74.88562092,0.235148386,0.250824945,0.096687053,2385696 2773545 2968434 diagnosis
2057,74.87472767,0.23807485,0.253946507,0.098069705,2385696 2773545 3780271 diagnosis
1988,74.86928105,0.197848719,0.211038633,0.079513437,2385696 2674432 3048778 diagnosis
20914,74.8583878,0.121274072,0.12935901,0.046628708,3103062 2674317 2968434 diagnosis
4930,74.83660131,0.184656193,0.196966606,0.073629891,2531129 2601230 3808600 diagnosis
3216,74.81481481,0.155107948,0.165448478,0.060790267,2385696 2968349 3556274 diagnosis
14891,74.80392157,0.145208446,0.154889009,0.05658886,2815331 3632862 2968434 diagnosis
2823,74.7875817,0.195650828,0.208694217,0.078526544,2385696 3428268 2674317 diagnosis
5254,74.77668845,0.235391618,0.251084393,0.09680177,2531129 3005266 3061438 diagnosis
19053,74.77668845,0.134007325,0.142941146,0.051893318,3048778 3818376 2968399 diagnosis
9463,74.76579521,0.097995471,0.104528502,0.037198354,2672467 3017068 2968349 diagnosis
28996,74.76034858,0.186214402,0.198628696,0.074319837,3632862 3808600 2674317 diagnosis
2292,74.76034858,0.157807005,0.168327472,0.061944305,2385696 3017068 3780271 diagnosis
6228,74.75490196,0.096067529,0.102472031,0.036428274,2531129 2968349 3551851 diagnosis
